,Date,Q
0,1922-10-01,122.0
1,1922-10-02,95.9
2,1922-10-03,153.0
3,1922-10-04,90.1
4,1922-10-05,90.1
5,1922-10-06,102.0
6,1922-10-07,90.1
7,1922-10-08,90.1
8,1922-10-09,95.9
9,1922-10-10,90.1
10,1922-10-11,84.6
11,1922-10-12,90.1
12,1922-10-13,95.9
13,1922-10-14,90.1
14,1922-10-15,84.6
15,1922-10-16,84.6
16,1922-10-17,90.1
17,1922-10-18,84.6
18,1922-10-19,90.1
19,1922-10-20,90.1
20,1922-10-21,84.6
21,1922-10-22,79.1
22,1922-10-23,84.6
23,1922-10-24,79.1
24,1922-10-25,84.6
25,1922-10-26,79.1
26,1922-10-27,79.1
27,1922-10-28,84.6
28,1922-10-29,79.1
29,1922-10-30,73.6
30,1922-10-31,73.6
31,1922-11-01,68.1
32,1922-11-02,57.8
33,1922-11-03,55.3
34,1922-11-04,50.3
35,1922-11-05,47.8
36,1922-11-06,45.4
37,1922-11-07,45.4
38,1922-11-08,43.1
39,1922-11-09,40.8
40,1922-11-10,38.6
41,1922-11-11,38.6
42,1922-11-12,38.6
43,1922-11-13,45.4
44,1922-11-14,43.1
45,1922-11-15,38.6
46,1922-11-16,36.4
47,1922-11-17,36.4
48,1922-11-18,34.2
49,1922-11-19,34.2
50,1922-11-20,34.2
51,1922-11-21,34.2
52,1922-11-22,34.2
53,1922-11-23,32.2
54,1922-11-24,32.2
55,1922-11-25,32.2
56,1922-11-26,32.2
57,1922-11-27,30.2
58,1922-11-28,55.3
59,1922-11-29,43.1
60,1922-11-30,36.4
61,1922-12-01,34.2
62,1922-12-02,34.2
63,1922-12-03,30.2
64,1922-12-04,30.2
65,1922-12-05,28.6
66,1922-12-06,28.2
67,1922-12-07,28.2
68,1922-12-08,26.5
69,1922-12-09,26.5
70,1922-12-10,25.8
71,1922-12-11,25.8
72,1922-12-12,25.1
73,1922-12-13,25.8
74,1922-12-14,26.5
75,1922-12-15,25.8
76,1922-12-16,25.1
77,1922-12-17,25.1
78,1922-12-18,24.4
79,1922-12-19,24.4
80,1922-12-20,23.7
81,1922-12-21,23.7
82,1922-12-22,22.3
83,1922-12-23,22.3
84,1922-12-24,22.3
85,1922-12-25,21.6
86,1922-12-26,21.6
87,1922-12-27,20.9
88,1922-12-28,20.9
89,1922-12-29,20.9
90,1922-12-30,20.2
91,1922-12-31,19.5
92,1923-01-01,23.0
93,1923-01-02,34.2
94,1923-01-03,30.2
95,1923-01-04,24.4
96,1923-01-05,25.1
97,1923-01-06,22.3
98,1923-01-07,20.2
99,1923-01-08,19.5
100,1923-01-09,18.9
101,1923-01-10,18.9
102,1923-01-11,18.3
103,1923-01-12,18.3
104,1923-01-13,18.3
105,1923-01-14,18.3
106,1923-01-15,18.3
107,1923-01-16,18.3
108,1923-01-17,18.3
109,1923-01-18,18.3
110,1923-01-19,18.3
111,1923-01-20,45.4
112,1923-01-21,47.8
113,1923-01-22,45.4
114,1923-01-23,36.4
115,1923-01-24,25.8
116,1923-01-25,23.0
117,1923-01-26,20.9
118,1923-01-27,19.5
119,1923-01-28,18.3
120,1923-01-29,18.3
121,1923-01-30,18.3
122,1923-01-31,18.3
123,1923-02-01,18.3
124,1923-02-02,17.7
125,1923-02-03,17.7
126,1923-02-04,17.7
127,1923-02-05,17.1
128,1923-02-06,17.1
129,1923-02-07,17.1
130,1923-02-08,16.5
131,1923-02-09,16.5
132,1923-02-10,16.5
133,1923-02-11,16.5
134,1923-02-12,16.5
135,1923-02-13,16.5
136,1923-02-14,16.5
137,1923-02-15,16.5
138,1923-02-16,16.5
139,1923-02-17,17.1
