,Date,	P
1004,1922-10-01,0.0
1005,1922-10-02,2.0
1006,1922-10-03,2.3
1007,1922-10-04,5.3
1008,1922-10-05,4.2
1009,1922-10-06,5.2
1010,1922-10-07,1.3
1011,1922-10-08,4.2
1012,1922-10-09,3.1
1013,1922-10-10,2.2
1014,1922-10-11,6.3
1015,1922-10-12,5.4
1016,1922-10-13,0.0
1017,1922-10-14,0.0
1018,1922-10-15,4.2
1019,1922-10-16,2.2
1020,1922-10-17,4.3
1021,1922-10-18,5.2
1022,1922-10-19,6.2
1023,1922-10-20,0.0
1024,1922-10-21,0.0
1025,1922-10-22,0.0
1026,1922-10-23,0.0
1027,1922-10-24,0.0
1028,1922-10-25,2.2
1029,1922-10-26,0.0
1030,1922-10-27,0.0
1031,1922-10-28,0.0
1032,1922-10-29,2.1
1033,1922-10-30,0.0
1034,1922-10-31,0.0
1035,1922-11-01,0.0
1036,1922-11-02,0.0
1037,1922-11-03,0.0
1038,1922-11-04,0.0
1039,1922-11-05,0.0
1040,1922-11-06,0.0
1041,1922-11-07,0.0
1042,1922-11-08,0.0
1043,1922-11-09,0.0
1044,1922-11-10,0.0
1045,1922-11-11,0.0
1046,1922-11-12,7.2
1047,1922-11-13,3.4
1048,1922-11-14,1.3
1049,1922-11-15,0.0
1050,1922-11-16,0.0
1051,1922-11-17,0.0
1052,1922-11-18,0.0
1053,1922-11-19,0.0
1054,1922-11-20,0.0
1055,1922-11-21,0.0
1056,1922-11-22,0.0
1057,1922-11-23,0.0
1058,1922-11-24,0.0
1059,1922-11-25,0.0
1060,1922-11-26,0.0
1061,1922-11-27,2.2
1062,1922-11-28,2.0
1063,1922-11-29,0.0
1064,1922-11-30,0.0
1065,1922-12-01,0.0
1066,1922-12-02,0.0
1067,1922-12-03,0.0
1068,1922-12-04,0.0
1069,1922-12-05,0.0
1070,1922-12-06,0.0
1071,1922-12-07,0.0
1072,1922-12-08,0.0
1073,1922-12-09,0.0
1074,1922-12-10,0.0
1075,1922-12-11,0.0
1076,1922-12-12,0.0
1077,1922-12-13,0.0
1078,1922-12-14,3.2
1079,1922-12-15,0.0
1080,1922-12-16,0.0
1081,1922-12-17,1.0
1082,1922-12-18,0.0
1083,1922-12-19,1.2
1084,1922-12-20,0.0
1085,1922-12-21,0.0
1086,1922-12-22,0.0
1087,1922-12-23,0.0
1088,1922-12-24,0.0
1089,1922-12-25,0.0
1090,1922-12-26,0.0
1091,1922-12-27,0.0
1092,1922-12-28,0.0
1093,1922-12-29,0.0
1094,1922-12-30,2.1
1095,1922-12-31,3.2
1096,1923-01-01,0.0
1097,1923-01-02,0.0
1098,1923-01-03,0.0
1099,1923-01-04,0.0
1100,1923-01-05,0.0
1101,1923-01-06,0.0
1102,1923-01-07,0.0
1103,1923-01-08,0.0
1104,1923-01-09,0.0
1105,1923-01-10,0.0
1106,1923-01-11,0.0
1107,1923-01-12,2.1
1108,1923-01-13,0.0
1109,1923-01-14,0.0
1110,1923-01-15,0.0
1111,1923-01-16,0.0
1112,1923-01-17,1.2
1113,1923-01-18,2.2
1114,1923-01-19,4.1
1115,1923-01-20,3.2
1116,1923-01-21,1.2
1117,1923-01-22,0.0
1118,1923-01-23,0.0
1119,1923-01-24,0.0
1120,1923-01-25,0.0
1121,1923-01-26,0.0
1122,1923-01-27,0.0
1123,1923-01-28,0.0
1124,1923-01-29,0.0
1125,1923-01-30,0.0
1126,1923-01-31,0.0
1127,1923-02-01,0.0
1128,1923-02-02,0.0
1129,1923-02-03,0.0
1130,1923-02-04,2.1
1131,1923-02-05,0.0
1132,1923-02-06,0.0
1133,1923-02-07,0.0
1134,1923-02-08,0.0
1135,1923-02-09,0.0
1136,1923-02-10,0.0
1137,1923-02-11,0.0
1138,1923-02-12,0.0
1139,1923-02-13,0.0
1140,1923-02-14,0.0
1141,1923-02-15,2.2
1142,1923-02-16,3.2
1143,1923-02-17,0.0
1144,1923-02-18,0.0
1145,1923-02-19,2.2
1146,1923-02-20,3.2
1147,1923-02-21,0.0
1148,1923-02-22,0.0
1149,1923-02-23,2.1
1150,1923-02-24,3.0
1151,1923-02-25,4.2
1152,1923-02-26,1.2
1153,1923-02-27,1.0
1154,1923-02-28,2.1
1155,1923-03-01,3.2
1156,1923-03-02,0.0
1157,1923-03-03,0.0
1158,1923-03-04,0.0
1159,1923-03-05,0.0
1160,1923-03-06,0.0
1161,1923-03-07,0.0
1162,1923-03-08,0.0
1163,1923-03-09,0.0
1164,1923-03-10,0.0
1165,1923-03-11,2.2
1166,1923-03-12,0.0
1167,1923-03-13,0.0
1168,1923-03-14,0.0
1169,1923-03-15,2.1
1170,1923-03-16,0.0
1171,1923-03-17,0.0
1172,1923-03-18,3.2
1173,1923-03-19,0.0
1174,1923-03-20,0.0
1175,1923-03-21,0.0
1176,1923-03-22,0.0
1177,1923-03-23,0.0
1178,1923-03-24,0.0
1179,1923-03-25,0.0
1180,1923-03-26,0.0
1181,1923-03-27,0.0
1182,1923-03-28,0.0
1183,1923-03-29,0.0
1184,1923-03-30,3.2
1185,1923-03-31,2.1
1186,1923-04-01,1.0
1187,1923-04-02,2.1
1188,1923-04-03,3.2
1189,1923-04-04,1.1
1190,1923-04-05,1.2
1191,1923-04-06,3.3
1192,1923-04-07,2.1
1193,1923-04-08,0.0
1194,1923-04-09,1.2
1195,1923-04-10,3.2
1196,1923-04-11,4.2
1197,1923-04-12,3.2
1198,1923-04-13,3.1
1199,1923-04-14,0.0
1200,1923-04-15,4.1
1201,1923-04-16,0.0
1202,1923-04-17,3.2
1203,1923-04-18,0.0
1204,1923-04-19,5.0
1205,1923-04-20,3.2
