## ================================================================================================================
## Date de Création du fichier     : 2022-05-04
## Auteur                          : Division Hydrographique du Service d'Irrigation - DHSI - (1918 - 1940)
##                                   Direction générale des travaux publics
## Créateur du fichier	           : Ralph Bathelemy (bathelemy@geoazur.unice.fr)
## Entité                          : URGEO - GEOAZUR - INRAE
## ================================================================================================================
## Code station                    : 40501
## Nom station                     : AMONT DU BASSIN - RIVIERE GRISE
## ----------------------------------------------------------------------------------------------------------------
## Superficie bassin               : 276           ; (DHSI [km²])
## Altitude station                : 220           ; (DHSI [m])
## Longitude                       : 72.11         ; (DHSI [degré.minute W])
## Latitude                        : 18.3          ; (DHSI [degré.minute N])
## Données manquantes              : 15             ; [%]
## Débits disponibles              : 1919-01-01    ; 1940-12-31
## ================================================================================================================
## Champs----------------------------------------------------------------------------------------------------------
## Date                            : date [AAAAMMJJ]
## Q                               : débits [m3/s]
## ================================================================================================================

Date;	Q
19190101;	NA
19190102;	NA
19190103;	NA
19190104;	NA
19190105;	NA
19190106;	NA
19190107;	NA
19190108;	NA
19190109;	NA
19190110;	NA
19190111;	NA
19190112;	NA
19190113;	NA
19190114;	NA
19190115;	NA
19190116;	NA
19190117;	NA
19190118;	NA
19190119;	NA
19190120;	NA
19190121;	NA
19190122;	NA
19190123;	NA
19190124;	NA
19190125;	NA
19190126;	NA
19190127;	NA
19190128;	NA
19190129;	NA
19190130;	NA
19190131;	NA
19190201;	NA
19190202;	NA
19190203;	NA
19190204;	NA
19190205;	NA
19190206;	NA
19190207;	NA
19190208;	NA
19190209;	NA
19190210;	NA
19190211;	NA
19190212;	NA
19190213;	NA
19190214;	NA
19190215;	NA
19190216;	NA
19190217;	NA
19190218;	NA
19190219;	NA
19190220;	NA
19190221;	NA
19190222;	NA
19190223;	NA
19190224;	NA
19190225;	NA
19190226;	NA
19190227;	NA
19190228;	NA
19190301;	NA
19190302;	NA
19190303;	NA
19190304;	NA
19190305;	NA
19190306;	NA
19190307;	NA
19190308;	NA
19190309;	NA
19190310;	NA
19190311;	NA
19190312;	NA
19190313;	NA
19190314;	NA
19190315;	NA
19190316;	NA
19190317;	NA
19190318;	NA
19190319;	NA
19190320;	NA
19190321;	NA
19190322;	NA
19190323;	NA
19190324;	NA
19190325;	NA
19190326;	NA
19190327;	NA
19190328;	NA
19190329;	NA
19190330;	NA
19190331;	NA
19190401;	NA
19190402;	NA
19190403;	NA
19190404;	NA
19190405;	NA
19190406;	NA
19190407;	NA
19190408;	NA
19190409;	NA
19190410;	NA
19190411;	NA
19190412;	NA
19190413;	NA
19190414;	NA
19190415;	NA
19190416;	NA
19190417;	NA
19190418;	NA
19190419;	NA
19190420;	NA
19190421;	NA
19190422;	NA
19190423;	NA
19190424;	NA
19190425;	NA
19190426;	NA
19190427;	NA
19190428;	NA
19190429;	NA
19190430;	NA
19190501;	NA
19190502;	NA
19190503;	NA
19190504;	NA
19190505;	NA
19190506;	NA
19190507;	NA
19190508;	NA
19190509;	NA
19190510;	NA
19190511;	NA
19190512;	NA
19190513;	NA
19190514;	NA
19190515;	NA
19190516;	NA
19190517;	NA
19190518;	NA
19190519;	NA
19190520;	NA
19190521;	NA
19190522;	NA
19190523;	NA
19190524;	NA
19190525;	NA
19190526;	NA
19190527;	NA
19190528;	NA
19190529;	NA
19190530;	NA
19190531;	NA
19190601;	NA
19190602;	NA
19190603;	NA
19190604;	NA
19190605;	NA
19190606;	NA
19190607;	NA
19190608;	NA
19190609;	NA
19190610;	NA
19190611;	NA
19190612;	NA
19190613;	NA
19190614;	NA
19190615;	NA
19190616;	NA
19190617;	NA
19190618;	NA
19190619;	NA
19190620;	NA
19190621;	NA
19190622;	NA
19190623;	NA
19190624;	NA
19190625;	NA
19190626;	NA
19190627;	NA
19190628;	NA
19190629;	NA
19190630;	NA
19190701;	NA
19190702;	NA
19190703;	NA
19190704;	NA
19190705;	NA
19190706;	NA
19190707;	NA
19190708;	NA
19190709;	NA
19190710;	NA
19190711;	NA
19190712;	NA
19190713;	NA
19190714;	NA
19190715;	NA
19190716;	NA
19190717;	NA
19190718;	NA
19190719;	NA
19190720;	NA
19190721;	NA
19190722;	NA
19190723;	NA
19190724;	NA
19190725;	NA
19190726;	NA
19190727;	NA
19190728;	NA
19190729;	NA
19190730;	NA
19190731;	NA
19190801;	NA
19190802;	NA
19190803;	NA
19190804;	NA
19190805;	NA
19190806;	NA
19190807;	NA
19190808;	NA
19190809;	NA
19190810;	NA
19190811;	NA
19190812;	NA
19190813;	NA
19190814;	NA
19190815;	NA
19190816;	NA
19190817;	NA
19190818;	NA
19190819;	NA
19190820;	NA
19190821;	NA
19190822;	NA
19190823;	NA
19190824;	NA
19190825;	NA
19190826;	NA
19190827;	NA
19190828;	NA
19190829;	NA
19190830;	NA
19190831;	NA
19190901;	NA
19190902;	NA
19190903;	NA
19190904;	NA
19190905;	NA
19190906;	NA
19190907;	NA
19190908;	NA
19190909;	NA
19190910;	NA
19190911;	NA
19190912;	NA
19190913;	NA
19190914;	NA
19190915;	NA
19190916;	NA
19190917;	NA
